"age","s","female","male","ethblack","ethhisp","wexp","married","sf","sm","siblings","earnings","asvab02","asvab03","learnings","wexpsq"
42,12,0,1,0,0,21.6538505554199,0,12,12,3,12,51,43,2.484906649788,468.889251708984
39,12,0,1,0,0,20.6153907775879,1,12,14,1,10,49,59,2.30258509299405,424.994323730469
45,9,0,1,0,0,20.480770111084,1,6,8,8,9.85000038146973,43,43,2.28747149391189,419.461944580078
40,12,0,1,0,0,20.6153907775879,1,12,11,4,12,57,54,2.484906649788,424.994323730469
45,11,0,1,0,0,21.019229888916,0,12,12,1,13.5,39,56,2.60268968544438,441.808013916016
38,16,0,1,0,0,12.038459777832,1,12,16,6,56,58,60,4.02535169073515,144.924514770508
39,19,0,1,0,0,8.23076915740967,1,11,14,2,32.689998626709,66,60,3.4870691787266,67.7455596923828
39,16,0,1,0,1,15.288459777832,1,3,11,4,14.2399997711182,50,50,2.65605488991067,233.736999511719
37,12,0,1,1,0,19.269229888916,1,10,10,3,20,42,39,2.99573227355399,371.30322265625
39,18,0,1,0,0,14.1346101760864,1,13,16,2,39.310001373291,58,56,3.67147897436867,199.787200927734
43,12,0,1,0,0,23.3653907775879,1,8,12,3,36.3199996948242,65,57,3.59236854533068,545.941467285156
44,12,0,1,0,0,23.1346092224121,1,11,12,1,21.6299991607666,50,54,3.07408120116546,535.210144042969
38,18,0,1,0,0,9.67307662963867,0,16,13,3,31.25,51,54,3.44201937618241,93.5684127807617
43,12,0,1,1,0,21.769229888916,0,10,12,2,9.15999984741211,47,46,2.21484616202797,473.899383544922
43,12,0,1,0,0,22.961540222168,1,12,12,2,27.7999992370605,59,56,3.32503599325273,527.232299804688
40,12,0,1,1,0,21.1153907775879,0,12,10,3,17.9500007629395,36,28,2.88759015743788,445.859741210938
41,12,0,1,0,0,13.1730804443359,0,14,12,3,12.5,53,48,2.52572864430826,173.530044555664
39,16,0,1,0,0,14.461540222168,1,13,12,2,16.1499996185303,66,55,2.78192002604825,209.136138916016
42,15,0,1,0,0,12.961540222168,1,14,16,2,2.5,61,59,0.916290731874155,168.001525878906
40,16,0,1,0,0,17.0769195556641,1,9,11,2,20.7399997711182,51,56,3.03206419176561,291.621185302734
37,12,0,1,0,0,15.230770111084,0,2,8,12,12,38,26,2.484906649788,231.976364135742
44,19,0,1,0,0,18.942310333252,1,16,16,2,47,66,61,3.85014760171006,358.811126708984
43,13,0,1,0,0,20.269229888916,1,1,3,8,20.5,43,42,3.02042488614436,410.841674804688
39,16,0,1,0,0,17.4038505554199,1,16,14,4,33.7599983215332,66,59,3.51927662001014,302.894012451172
44,16,0,1,0,0,21.288459777832,1,12,12,1,42.5900001525879,51,54,3.75161948751784,453.198516845703
38,12,0,1,0,1,19.75,1,8,8,7,20,36,42,2.99573227355399,390.0625
41,18,0,1,0,0,16.769229888916,1,17,16,3,71.2200012207031,65,59,4.26577369498952,281.207061767578
44,19,0,1,0,0,17.961540222168,1,18,16,1,47,54,60,3.85014760171006,322.616912841797
40,12,0,1,0,0,17.75,1,6,10,4,25,38,33,3.2188758248682,315.0625
45,12,0,1,0,0,19,1,11,9,3,29.7999992370605,54,55,3.39450836790936,361
44,12,0,1,1,0,19.288459777832,0,7,10,2,4.46000003814697,38,33,1.49514877458511,372.044677734375
44,16,0,1,0,0,19.8461494445801,1,13,12,3,26.0400009155273,45,60,3.25963385249887,393.869659423828
41,12,0,1,0,0,22.788459777832,1,8,12,1,13.2700004577637,53,50,2.58550588284025,519.313903808594
44,17,0,1,0,0,17.1153907775879,1,12,12,2,18,65,61,2.89037175789616,292.936614990234
42,9,0,1,0,0,22.0769195556641,0,13,15,5,18.2600002288818,55,60,2.90471288770142,487.390380859375
37,12,0,1,0,0,13.8846101760864,1,11,12,3,9.25,59,42,2.22462355152433,192.78239440918
38,14,0,1,0,1,15.019229888916,1,12,12,2,23.0699996948242,46,56,3.13853305895741,225.577270507812
45,14,0,1,0,0,22.1153907775879,1,7,4,5,21.8999996185303,61,60,3.08648661940375,489.090515136719
40,12,0,1,0,0,21.6730804443359,1,12,12,3,13.3999996185303,47,41,2.59525467848898,469.722412109375
37,16,0,1,0,0,13.1346101760864,1,16,16,2,15,45,54,2.70805020110221,172.517990112305
43,17,0,1,0,0,19.019229888916,1,16,14,3,30,54,56,3.40119738166216,361.731109619141
39,12,0,1,0,0,20.6538505554199,1,9,10,6,12.539999961853,47,35,2.52892353216275,426.58154296875
44,13,0,1,0,0,22.0769195556641,0,16,12,2,113.959999084473,66,61,4.73584750159595,487.390380859375
38,15,0,1,0,0,10.9038496017456,1,15,12,1,39.5299987792969,57,60,3.67705984642817,118.893936157227
39,14,0,1,0,0,15.557689666748,1,6,6,4,14.210000038147,57,51,2.65394594479353,242.041702270508
40,12,0,1,0,0,18.230770111084,1,12,10,2,16,35,52,2.77258872223978,332.360992431641
43,15,0,1,1,0,17.9038505554199,1,12,15,1,11.3599996566772,50,59,2.43009838307093,320.5478515625
41,12,0,1,0,0,21.9230804443359,0,8,8,4,14.6300001144409,55,37,2.68307422285438,480.621459960938
38,13,0,1,0,0,9.26923084259033,1,16,12,2,38.8800010681152,53,48,3.66048000706434,85.9186401367188
44,12,0,1,0,0,20.230770111084,1,12,12,5,16.6100006103516,55,47,2.81000496037123,409.284057617188
38,10,0,1,1,0,5.75,0,10,12,3,4.3600001335144,35,38,1.47247208798351,33.0625
39,13,0,1,1,0,19.230770111084,1,12,12,3,14,40,41,2.63905732961526,369.822509765625
44,13,0,1,0,0,22.1346092224121,0,11,11,2,28.8400001525879,66,61,3.36176331770759,489.94091796875
38,16,0,1,0,0,11.788459777832,1,10,12,1,32.0499992370605,55,59,3.46729715956202,138.967788696289
40,12,0,1,0,0,19.3653907775879,1,12,11,2,25.8999996185303,51,57,3.25424295397693,375.018371582031
43,16,0,1,0,0,21.461540222168,1,18,12,0,86.5299987792969,61,57,4.46049116051137,460.597717285156
41,14,0,1,0,0,19.519229888916,1,9,10,3,18.1800003051758,40,52,2.90032210553568,381.000335693359
38,12,0,1,0,0,19.9038505554199,1,8,11,0,14.1999998092651,53,44,2.65324195117518,396.163269042969
40,16,0,1,0,0,14.8846101760864,0,16,12,1,69.7600021362305,50,59,4.24506081022329,221.551620483398
38,12,0,1,1,0,7.25,1,11,8,2,8.11999988555908,42,35,2.09433014007988,52.5625
44,14,0,1,0,0,18.269229888916,1,10,10,4,23.0400009155273,64,52,3.13723187556412,333.764770507812
42,12,0,1,0,0,23.307689666748,1,12,12,6,19.4599990844727,57,57,2.96836102971123,543.248413085938
39,17,0,1,0,0,10,1,16,16,2,36.0499992370605,66,57,3.58490684256759,100
43,12,0,1,1,0,20.3846092224121,0,12,8,2,15,36,59,2.70805020110221,415.532287597656
43,11,0,1,0,0,20.8846092224121,0,12,11,6,14.1000003814697,53,51,2.64617482443871,436.166900634766
41,12,0,1,0,0,14.4230804443359,0,10,12,1,9,42,56,2.19722457733622,208.025253295898
39,12,0,1,0,0,20.519229888916,1,12,12,5,21.6299991607666,42,51,3.07408120116546,421.038787841797
38,12,0,1,0,0,10.6538496017456,1,9,13,1,16.0200004577637,49,42,2.77383797021472,113.504508972168
40,12,0,1,0,0,18.538459777832,1,12,12,3,13.6700000762939,53,48,2.61520365631698,343.674499511719
43,14,0,1,0,0,21.480770111084,0,14,16,2,26.4400005340576,59,59,3.27487803518234,461.423492431641
40,12,0,1,0,0,19.057689666748,1,11,12,5,18.9599990844727,51,46,2.94233144853957,363.195526123047
45,12,0,1,0,0,22.8846092224121,1,12,10,6,24.9400005340576,64,56,3.21647296166559,523.705322265625
42,12,0,1,0,0,22.5,1,12,11,3,19.2299995422363,65,59,2.95647153579602,506.25
39,13,0,1,0,0,16.538459777832,1,9,8,3,13.75,47,52,2.62103882411258,273.520660400391
37,14,0,1,0,0,10.019229888916,0,16,13,2,5.25,57,48,1.65822807660353,100.384963989258
45,16,0,1,0,0,23.211540222168,1,12,12,2,123.930000305176,64,60,4.81971689253927,538.775573730469
44,19,0,1,0,0,15.5,1,16,15,5,39.810001373291,65,59,3.68411817150836,240.25
39,18,0,1,0,0,14.192310333252,1,20,16,2,113.120002746582,66,61,4.72844922642851,201.421676635742
41,12,0,1,0,0,13.8846101760864,1,18,12,1,11.4200000762939,50,41,2.43536621090859,192.78239440918
44,12,0,1,0,0,16.9038505554199,1,12,12,3,7.5,47,52,2.01490302054226,285.740173339844
44,9,0,1,0,0,15.788459777832,1,7,12,11,9.85000038146973,42,34,2.28747149391189,249.275466918945
41,12,0,1,0,1,14.692310333252,1,6,9,7,10.75,38,46,2.37490575457367,215.863983154297
38,14,0,1,0,0,17.4230804443359,1,16,12,1,16.8199996948242,43,55,2.82256863640118,303.563720703125
40,12,0,1,0,0,21.038459777832,1,16,8,3,16.6200008392334,57,47,2.81060683992269,442.616790771484
41,14,0,1,0,0,20.442310333252,1,13,15,2,24.0300006866455,64,60,3.17930307832289,417.888061523438
39,12,0,1,1,0,17.6730804443359,0,10,16,3,12,51,52,2.484906649788,312.337768554688
41,12,0,1,0,1,19.6538505554199,1,12,8,5,16,46,44,2.77258872223978,386.273834228516
39,14,0,1,0,0,18.288459777832,1,12,12,2,17.2999992370605,49,48,2.85070645740319,334.4677734375
43,12,0,1,0,0,22.8269195556641,1,12,12,3,26.4400005340576,59,60,3.27487803518234,521.068237304688
40,12,0,1,0,0,17.269229888916,0,12,6,2,11.1599998474121,35,34,2.41233594328041,298.226287841797
40,12,0,1,1,0,20.442310333252,1,7,10,2,12,31,44,2.484906649788,417.888061523438
40,12,0,1,0,0,17.269229888916,1,16,16,3,15.5,47,48,2.7408400239252,298.226287841797
40,17,0,1,0,0,15.192310333252,0,16,12,6,22.4300003051758,61,60,3.11039936213781,230.806289672852
38,12,0,1,0,0,10.75,1,4,6,1,12.7200002670288,42,29,2.54317557890481,115.5625
39,20,0,1,0,1,7.42307710647583,0,12,12,1,19.5799999237061,61,57,2.97450863320584,55.1020736694336
40,16,0,1,0,0,18.4230804443359,1,12,12,2,23.7000007629395,62,56,3.16547508033262,339.409881591797
41,12,0,1,1,0,9.51923084259033,0,6,6,10,5.15000009536743,47,39,1.63899673319359,90.6157531738281
38,12,0,1,1,0,17.269229888916,0,9,6,9,10.6700000762939,38,41,2.36743607246398,298.226287841797
41,13,0,1,0,0,16.942310333252,1,14,12,2,11.25,53,51,2.42036812865043,287.041870117188
37,13,0,1,0,0,19.038459777832,1,12,12,4,11.6199998855591,51,41,2.45272774157515,362.462951660156
39,16,0,1,0,0,16,1,12,13,2,26.4899997711182,50,55,3.27676729464367,256
37,14,0,1,0,0,10.942310333252,1,12,11,2,15.6199998855591,57,55,2.74855213708498,119.734153747559
40,18,0,1,0,0,8.75,0,8,12,2,15.5,66,60,2.7408400239252,76.5625
40,12,0,1,0,0,21.8461494445801,1,12,10,0,32.5,54,52,3.48124008933569,477.254241943359
38,12,0,1,0,0,20.019229888916,1,12,12,2,36.9199981689453,38,37,3.60875336003945,400.769561767578
39,18,0,1,0,0,7.01923084259033,1,15,12,2,21.9200000762939,49,56,3.08739946556038,49.2695999145508
42,12,0,1,0,0,23.0769195556641,1,12,12,2,10.5,57,48,2.35137525716348,532.544189453125
43,13,0,1,0,0,20.807689666748,1,12,10,5,20.6800003051758,65,56,3.02916706439728,432.9599609375
44,20,0,1,0,0,18.1346092224121,1,16,14,3,55.939998626709,62,60,4.02427966322446,328.864044189453
37,16,0,1,0,0,15.980770111084,1,18,12,2,31.8600006103516,45,47,3.4613513236392,255.385009765625
40,17,0,1,0,0,15.8846101760864,1,18,16,2,16.9200000762939,64,59,2.82849635868718,252.320846557617
43,14,0,1,0,0,17.8846092224121,1,6,13,2,18,54,59,2.89037175789616,319.859252929688
37,12,0,1,0,0,18.711540222168,1,10,9,2,15.3800001144409,35,28,2.73306797151839,350.121734619141
41,14,0,1,0,0,20.3846092224121,1,18,12,3,23.0699996948242,61,60,3.13853305895741,415.532287597656
40,13,0,1,0,0,21.692310333252,0,14,12,1,30,46,52,3.40119738166216,470.556335449219
41,13,0,1,0,1,18.0769195556641,0,4,6,1,12,42,50,2.484906649788,326.775024414062
41,15,0,1,0,0,11.980770111084,1,14,14,3,32.689998626709,57,54,3.4870691787266,143.538848876953
45,13,0,1,0,0,22.0769195556641,0,10,12,1,21.3600006103516,61,57,3.06152004266651,487.390380859375
44,14,0,1,0,0,22.75,1,14,16,2,34,46,52,3.52636052461616,517.5625
43,15,0,1,0,0,14.442310333252,1,14,18,1,13.8999996185303,61,57,2.63188881269278,208.580322265625
43,9,0,1,0,0,10.961540222168,1,4,7,3,8,35,35,2.07944154167984,120.155364990234
38,12,0,1,0,0,17.6538505554199,0,16,12,5,13,61,52,2.56494935746154,311.658447265625
40,18,0,1,0,0,11.8653898239136,0,12,12,1,50.1599998474121,65,61,3.91521789328264,140.787475585938
45,17,0,1,0,0,22.269229888916,1,17,17,2,40,64,61,3.68887945411394,495.918609619141
45,18,0,1,0,0,6.25,1,12,12,2,17.4400005340576,59,60,2.8587664491034,39.0625
44,14,0,1,0,0,20.6538505554199,1,10,12,0,8.5,42,54,2.14006616349627,426.58154296875
44,18,0,1,0,0,19.980770111084,1,17,16,2,16.6599998474121,66,56,2.81301062757976,399.231170654297
38,13,0,1,0,0,11.1346101760864,1,12,12,8,14.460000038147,62,57,2.67138621936872,123.979545593262
43,14,0,1,0,0,16.557689666748,0,12,12,1,8.81999969482422,40,51,2.17702183541827,274.157073974609
38,18,0,1,0,0,13.942310333252,1,8,8,6,64.0999984741211,65,61,4.16044434012196,194.38801574707
38,12,0,1,0,0,12.480770111084,0,8,12,2,5.15000009536743,65,61,1.63899673319359,155.769622802734
37,16,0,1,0,0,16.6346092224121,1,16,14,2,34.5200004577637,54,54,3.54153887947605,276.710235595703
39,12,0,1,0,0,13.6730804443359,1,9,8,3,15.6300001144409,35,33,2.74919215175526,186.953125
42,12,0,1,0,0,23.3461494445801,1,12,12,2,17.1700000762939,58,52,2.84316367935283,545.042663574219
45,13,0,1,0,1,15.6153898239136,0,0,2,6,12.9799995422363,45,38,2.5634096760091,243.840393066406
40,12,0,1,0,0,21.6153907775879,1,12,12,3,11.2700004577637,42,46,2.42214436866958,467.225128173828
40,12,0,1,0,0,19.9038505554199,1,12,12,1,15,40,38,2.70805020110221,396.163269042969
41,16,0,1,0,0,18.980770111084,1,16,14,2,20.7600002288818,64,59,3.03302806932282,360.269622802734
42,12,0,1,0,0,3.01923108100891,1,12,9,3,17.2999992370605,49,37,2.85070645740319,9.11575603485107
43,10,0,1,0,0,22.980770111084,1,7,9,3,19.2299995422363,53,52,2.95647153579602,528.115783691406
42,13,0,1,1,0,21.480770111084,0,8,12,3,24,38,42,3.17805383034795,461.423492431641
40,12,0,1,0,0,21.1538505554199,1,12,12,2,17.5200004577637,54,59,2.86334311163631,447.485382080078
41,12,0,1,0,0,19.8461494445801,0,12,7,0,26.2199993133545,36,44,3.2665224521477,393.869659423828
41,16,0,1,0,0,18.3461494445801,0,11,12,2,58,65,61,4.06044301054642,336.581207275391
41,12,0,1,0,0,20.692310333252,0,12,12,2,14.8900003433228,47,50,2.70068986975319,428.171691894531
43,12,0,1,0,0,23.1153907775879,1,11,11,4,20.7600002288818,59,56,3.03302806932282,534.3212890625
40,14,0,1,0,0,17.5769195556641,0,12,12,5,6.75,58,57,1.90954250488444,308.948089599609
41,16,0,1,0,0,19.1153907775879,1,9,12,1,32.0499992370605,66,61,3.46729715956202,365.398162841797
38,12,0,1,0,1,9.78846168518066,0,12,16,3,4,39,44,1.38629436111989,95.8139801025391
41,16,0,1,0,0,18.5769195556641,1,14,12,2,34.6100006103516,64,56,3.54414267528237,345.101928710938
40,12,0,1,0,0,23.25,0,10,11,1,8.11999988555908,42,55,2.09433014007988,540.5625
44,12,0,1,0,0,22.1346092224121,0,12,12,4,23,45,50,3.13549421592915,489.94091796875
42,20,0,1,0,0,11.480770111084,0,6,19,3,35.5699996948242,65,59,3.57150257738078,131.808074951172
40,12,0,1,0,0,16.769229888916,1,12,12,5,9.94999980926514,58,61,2.29757253200117,281.207061767578
39,12,0,1,0,0,20.1730804443359,0,12,12,6,15,38,41,2.70805020110221,406.953186035156
40,12,0,1,0,0,22.3846092224121,1,12,12,1,19.0200004577637,55,51,2.94549108118473,501.070739746094
40,15,0,1,0,0,20.1538505554199,1,12,10,3,36.7099990844727,46,54,3.60304917256929,406.177703857422
38,16,0,1,0,0,13.307689666748,1,16,12,3,20.1499996185303,53,57,3.00320426946119,177.094604492188
44,11,0,1,1,0,6.73076915740967,0,6,12,7,6.15000009536743,39,28,1.81645209732533,45.3032531738281
41,12,0,1,0,0,22.6346092224121,1,12,12,7,25.6200008392334,64,57,3.24337332922555,512.325561523438
38,12,0,1,0,0,19.5961494445801,1,12,12,4,15.6000003814697,35,44,2.74727093870868,384.009063720703
45,12,0,1,0,0,23.192310333252,1,12,12,4,40.060001373291,62,48,3.69037836451853,537.883239746094
41,12,0,1,0,0,21.769229888916,0,11,12,0,16,40,48,2.77258872223978,473.899383544922
39,12,0,1,0,0,20.8269195556641,1,6,12,0,17.8500003814697,42,39,2.8820035295965,433.760589599609
43,12,0,1,0,0,23.038459777832,1,12,11,2,12.0100002288818,64,52,2.4857396551495,530.770629882812
41,16,0,1,0,0,17.3846092224121,1,18,15,1,34.6100006103516,59,48,3.54414267528237,302.224639892578
44,12,0,1,0,0,22.6346092224121,1,11,10,1,11.3199996948242,54,51,2.42657104581605,512.325561523438
42,18,0,1,0,0,20.6153907775879,1,13,12,4,64.9000015258789,55,61,4.17284764722128,424.994323730469
38,12,0,1,0,0,18.211540222168,0,19,12,2,38.4599990844727,65,61,3.64961871635597,331.660186767578
41,12,0,1,0,0,22.980770111084,0,12,12,6,26.8199996948242,61,52,3.28914786647487,528.115783691406
44,14,0,1,0,0,19.5769195556641,1,10,12,2,21.1499996185303,62,60,3.05163988745589,383.255767822266
41,9,0,1,0,0,20.442310333252,1,9,9,4,17.1200008392334,38,33,2.84024741973424,417.888061523438
44,13,0,1,0,0,22.538459777832,1,12,10,9,28.7999992370605,62,59,3.36037536065095,507.982177734375
41,18,0,1,0,0,16.961540222168,1,8,12,4,20,62,43,2.99573227355399,287.69384765625
43,16,0,1,0,1,22.192310333252,1,12,9,4,30.2800006866455,64,59,3.41048745124578,492.498626708984
44,16,0,1,0,0,19.019229888916,0,12,12,1,54.2700004577637,58,56,3.99397159651024,361.731109619141
40,12,0,1,0,0,20.807689666748,1,12,12,6,17.5400009155273,64,54,2.86448403914058,432.9599609375
44,11,0,1,1,0,21.519229888916,1,9,6,9,6.96999979019165,30,37,1.9416151946708,463.077239990234
43,14,0,1,0,1,19.269229888916,0,5,6,7,12.1999998092651,54,59,2.50143593610521,371.30322265625
41,16,0,1,0,0,15.3269195556641,1,16,16,3,29.7999992370605,64,43,3.39450836790936,234.914459228516
39,19,0,1,0,0,13.6730804443359,1,12,10,2,48.0699996948242,66,59,3.8726582755573,186.953125
45,13,0,1,0,0,21.9230804443359,1,15,12,2,29.6100006103516,65,59,3.38811216272652,480.621459960938
43,14,0,1,0,0,23.211540222168,1,17,14,3,30.2700004577637,64,61,3.41015713815631,538.775573730469
38,16,0,1,0,0,12.9230804443359,1,16,12,2,26.5100002288818,58,59,3.27752202893473,167.006011962891
40,12,0,1,0,0,22.0961494445801,1,12,12,2,50,64,54,3.91202300542815,488.239807128906
44,19,0,1,0,0,1.78846204280853,1,16,14,3,37.1100006103516,65,60,3.6138864915196,3.19859647750854
39,11,0,1,0,0,16.1730804443359,1,14,12,2,10,35,21,2.30258509299405,261.568542480469
39,12,0,1,0,0,19.9038505554199,1,14,12,3,16.1599998474121,43,37,2.78253904365063,396.163269042969
41,14,0,1,0,0,20.192310333252,1,12,12,2,55.5499992370605,61,61,4.01728350235136,407.729400634766
43,11,0,1,1,0,9.15384578704834,0,11,11,7,8.75,34,22,2.16905370036952,83.7928924560547
42,15,0,1,0,0,16.692310333252,1,18,13,2,26,61,60,3.25809653802148,278.633209228516
39,12,0,1,0,0,20.8269195556641,1,16,12,6,15.7299995422363,62,52,2.75556968796887,433.760589599609
39,9,0,1,1,0,19.788459777832,0,16,11,3,7,36,35,1.94591014905531,391.583129882812
39,14,0,1,0,0,14.307689666748,0,12,12,4,8.53999996185303,62,60,2.14476100333362,204.709976196289
39,14,0,1,0,0,18.961540222168,1,12,12,1,56.9199981689453,42,52,4.04164674105274,359.540008544922
37,12,0,1,0,0,17.442310333252,1,8,13,2,26.5,65,54,3.27714473299218,304.234191894531
44,12,0,1,1,0,20.6346092224121,0,5,10,6,8.8100004196167,38,31,2.17588748757768,425.787109375
38,16,0,1,0,0,11.961540222168,1,20,12,1,31,54,56,3.43398720448515,143.07844543457
40,12,0,1,0,0,20.4038505554199,1,14,16,4,18.5300006866455,59,57,2.91939107735315,416.317108154297
